"Season","Name","Team","G","PA","BB%","K%","AVG","OBP","SLG","wOBA","xwOBA","wRC+","WAR","playerid"
"2001","Luis Gonzalez","ARI","162","728","13.7%","11.4%",".325",".429",".688",".454","","173","8.9","55"
"1896","Mike Tiernan","NYG","133","605","12.7%","3.0%",".369",".452",".516",".454","","153","5.7","1013062"
"1961","Jim Gentile","BAL","148","601","16.0%","17.6%",".302",".423",".646",".453","","180","8.0","1004612"
"1999","Mark McGwire","STL","153","661","20.1%","21.3%",".278",".424",".697",".453","","168","6.0","1008559"
"1897","Jesse Burkett","CLE","127","610","12.5%","",".383",".468",".476",".453","","150","5.1","1001682"
"2003","Todd Helton","COL","160","703","15.8%","10.2%",".358",".458",".630",".453","","163","6.6","432"
"1997","Mike Piazza","LAD","152","633","10.9%","12.2%",".362",".431",".638",".452","","183","9.1","893"
"1954","Eddie Mathews","MIL","138","601","18.8%","10.1%",".290",".423",".603",".452","","168","7.9","1008236"
"1871","Ross Barnes","BSN","31","170","7.6%","0.6%",".401",".447",".580",".452","","162","2.4","1000573"
"1916","Ty Cobb","DET","145","636","12.3%","6.1%",".371",".452",".493",".452","","177","7.8","1002378"
"1929","Riggs Stephenson","CHC","136","582","11.5%","3.6%",".362",".445",".562",".452","","148","5.1","1012500"
"1930","Chick Hafey","STL","120","515","8.9%","9.9%",".336",".407",".652",".451","","144","4.3","1005191"
"1955","Mickey Mantle","NYY","147","638","17.7%","15.2%",".306",".431",".611",".451","","179","9.8","1008082"
"1996","Frank Thomas","CHW","141","649","16.8%","10.8%",".349",".459",".626",".451","","168","6.1","255"
"1923","Jack Fournier","BRO","133","578","7.4%","4.8%",".351",".411",".588",".451","","160","5.8","1004264"
"1872","Cap Anson","PHN","46","233","6.9%","1.3%",".415",".455",".525",".451","","165","2.2","1000272"
"1926","Harry Heilmann","DET","141","598","11.2%","3.2%",".367",".445",".534",".451","","152","4.9","1005590"
"2000","Gary Sheffield","LAD","141","612","16.5%","11.6%",".325",".438",".643",".451","","173","6.6","114"
"1890","Dan Brouthers","BSR","123","577","17.2%","2.9%",".330",".466",".454",".451","","141","4.4","1001486"
"1928","Paul Waner","PIT","152","697","11.0%","2.3%",".370",".446",".547",".451","","156","7.1","1013597"
"1932","Mel Ott","NYG","154","673","14.9%","5.8%",".318",".424",".601",".451","","174","8.1","1009904"
"1886","Cap Anson","CHI","125","559","9.8%","3.4%",".371",".433",".544",".451","","165","7.2","1000272"
"1953","Eddie Mathews","MIL","157","681","14.5%","12.2%",".302",".406",".627",".451","","167","8.7","1008236"
"1972","Dick Allen","CHW","148","609","16.3%","20.7%",".308",".420",".603",".450","","199","8.0","1000137"
"1896","Elmer Smith","PIT","122","572","12.9%","3.1%",".362",".454",".500",".450","","151","6.0","1012134"
"1996","Edgar Martinez","SEA","139","634","19.4%","13.2%",".327",".464",".595",".450","","163","5.9","1086"
"1894","Mike Griffin","BRO","107","484","16.1%","2.9%",".358",".467",".485",".450","","139","4.6","1005047"
"1955","Willie Mays","NYG","152","670","11.8%","9.0%",".319",".400",".659",".450","","172","9.0","1008315"
"1927","Paul Waner","PIT","155","709","8.5%","2.0%",".380",".437",".549",".450","","160","7.4","1013597"
"1941","Charlie Keller","NYY","140","610","16.7%","10.7%",".298",".416",".580",".450","","161","7.3","1006768"
"1994","Kevin Mitchell","CIN","95","380","15.5%","16.3%",".326",".429",".681",".450","","176","4.2","1009004"
"2006","Travis Hafner","CLE","129","564","17.7%","19.7%",".308",".439",".659",".450","","176","6.0","1573"
"1996","Jim Thome","CLE","151","636","19.3%","22.2%",".311",".450",".612",".450","","163","7.4","409"
"1894","Cupid Childs","CLE","118","591","18.1%","1.9%",".353",".475",".459",".450","","131","4.3","1002186"
"1897","Hughie Jennings","BAL","117","544","7.7%","",".355",".463",".469",".450","","148","7.5","1006396"
"1926","Heinie Manush","DET","136","563","5.5%","5.0%",".378",".421",".564",".450","","152","4.9","1008089"
"1925","Al Wingo","DET","130","524","13.2%","5.9%",".370",".456",".527",".450","","149","5.1","1014131"
"1994","Paul O'Neill","NYY","103","443","16.3%","12.6%",".359",".460",".603",".450","","171","4.3","1009818"
"1933","Mickey Cochrane","PHA","130","542","19.6%","4.1%",".322",".459",".515",".449","","155","6.2","1002384"
"2007","David Ortiz","BOS","149","667","16.6%","15.4%",".332",".445",".621",".449","","175","6.3","745"
"1939","Bob Johnson","PHA","150","653","15.2%","9.0%",".338",".440",".553",".449","","150","6.4","1006428"
"1958","Ted Williams","BOS","129","517","19.0%","9.5%",".328",".458",".584",".449","","179","4.5","1014040"
"1936","Hal Trosky","CLE","151","671","5.4%","8.6%",".343",".382",".644",".449","","141","4.7","1013190"
"2018","Mookie Betts","BOS","136","614","13.2%","14.8%",".346",".438",".640",".449","","185","10.4","13611"
"1929","Lou Gehrig","NYY","154","692","17.6%","9.8%",".300",".431",".584",".449","","161","7.3","1004598"
"1895","Hughie Jennings","BAL","131","613","3.9%","2.8%",".386",".444",".512",".449","","143","8.2","1006396"
"1893","Elmer Smith","PIT","128","600","12.8%","3.8%",".346",".435",".525",".449","","146","5.5","1012134"
"1947","Johnny Mize","NYG","154","664","11.1%","6.3%",".302",".384",".614",".448","","156","6.8","1009014"
"1937","Charlie Gehringer","DET","144","660","13.6%","3.8%",".371",".458",".520",".448","","145","7.4","1004596"
"1895","Bill Joyce","WAS","126","591","16.2%","9.1%",".312",".442",".527",".448","","144","4.1","1006633"
"1965","Willie Mays","SFG","157","638","11.9%","11.1%",".317",".398",".645",".448","","186","10.7","1008315"
"1945","Phil Cavarretta","CHC","132","586","13.8%","5.8%",".355",".449",".500",".448","","164","6.3","1002093"
"1934","Mel Ott","NYG","153","671","12.7%","6.4%",".326",".415",".591",".448","","167","7.3","1009904"
"1944","Mel Ott","NYG","120","494","18.2%","9.5%",".288",".423",".544",".447","","167","5.3","1009904"
"1990","Rickey Henderson","OAK","136","594","16.3%","10.1%",".325",".439",".577",".447","","190","10.2","194"
"1948","Joe DiMaggio","NYY","153","669","10.0%","4.5%",".320",".396",".598",".447","","158","7.3","1003311"
"1944","Dixie Walker","BRO","147","611","11.8%","4.4%",".357",".434",".529",".447","","168","5.8","1013512"
"2009","Albert Pujols","STL","160","700","16.4%","9.1%",".327",".443",".658",".447","","180","8.4","1177"
"1921","Ken Williams","SLB","146","646","11.5%","6.5%",".347",".429",".561",".447","","146","5.5","1014012"
"2006","Albert Pujols","STL","143","634","14.5%","7.9%",".331",".431",".671",".447","","174","8.1","1177"
"1962","Frank Robinson","CIN","162","701","10.8%","8.8%",".342",".421",".624",".447","","171","8.2","1011066"
"1999","Chipper Jones","ATL","157","701","18.0%","13.4%",".319",".441",".633",".447","","165","7.3","97"
"1924","Zack Wheat","BRO","141","624","7.9%","2.9%",".375",".428",".549",".447","","166","6.9","1013828"
"1929","Chick Hafey","STL","134","572","7.9%","7.3%",".338",".394",".632",".447","","143","4.7","1005191"
"1966","Frank Robinson","BAL","155","680","12.8%","13.2%",".316",".410",".637",".447","","195","8.2","1011066"
"2018","Mike Trout","LAA","140","608","20.1%","20.4%",".312",".460",".628",".447","","188","9.6","10155"
"1889","Mike Tiernan","NYG","122","600","16.0%","5.3%",".335",".447",".497",".446","","153","5.9","1013062"
"1889","Tommy Tucker","BAL","134","602","7.0%","4.3%",".372",".450",".484",".446","","158","6.5","1013213"
"1946","Hank Greenberg","DET","142","604","13.2%","14.6%",".277",".373",".604",".446","","165","7.2","1004996"
"1950","Larry Doby","CLE","142","609","16.1%","11.7%",".326",".442",".545",".446","","155","6.8","1003346"
"1958","Mickey Mantle","NYY","150","654","19.7%","18.3%",".304",".443",".592",".446","","187","8.8","1008082"
"1996","Barry Bonds","SFG","158","675","22.4%","11.3%",".308",".461",".615",".446","","179","9.2","1109"
"1934","Hank Greenberg","DET","153","667","9.4%","13.9%",".339",".404",".600",".446","","151","6.5","1004996"
"1887","Dan Brouthers","DET","123","577","12.3%","1.6%",".338",".426",".562",".446","","157","5.2","1001486"
"1911","Eddie Collins","PHA","132","588","10.5%","",".365",".451",".481",".446","","161","6.8","1002451"
"2008","Chipper Jones","ATL","128","534","16.9%","11.4%",".364",".470",".574",".445","","174","7.1","97"
"1936","Charlie Gehringer","DET","154","731","11.4%","1.8%",".354",".431",".555",".445","","139","7.6","1004596"
"2010","Josh Hamilton","TEX","133","571","7.5%","16.6%",".359",".411",".633",".445","","175","8.4","1875"
"1944","Bob Johnson","BOS","144","626","15.2%","10.7%",".324",".431",".528",".445","","169","6.4","1006428"
"1971","Willie Stargell","PIT","141","606","13.7%","25.4%",".295",".398",".628",".445","","186","8.2","1012426"
"1987","Jack Clark","STL","131","559","24.3%","24.9%",".286",".459",".597",".445","","176","5.7","1002288"
"1934","Ripper Collins","STL","154","662","8.6%","7.6%",".333",".393",".615",".445","","161","6.7","1002464"
"1955","Duke Snider","BRO","148","653","15.9%","13.3%",".309",".418",".628",".445","","164","7.7","1012230"
"1938","Rudy York","DET","135","557","16.5%","13.3%",".298",".417",".579",".445","","138","5.1","1014354"
"2007","Alex Rodriguez","NYY","158","708","13.4%","16.9%",".314",".422",".645",".445","","175","9.6","1274"
"1928","Heinie Manush","SLB","154","697","5.6%","2.0%",".378",".414",".575",".445","","152","6.9","1008089"
"1907","Honus Wagner","PIT","142","580","7.9%","",".350",".408",".513",".445","","178","9.2","1013485"
"1939","George Selkirk","NYY","128","537","19.2%","9.1%",".306",".452",".517",".444","","151","5.7","1011732"
"1887","Sam Thompson","DET","127","586","5.5%","3.2%",".372",".416",".571",".444","","156","5.5","1013024"
"1893","Sam Thompson","PHI","131","656","7.6%","2.6%",".370",".424",".530",".444","","143","4.2","1013024"
"1904","Honus Wagner","PIT","132","558","10.6%","",".349",".423",".520",".444","","178","9.0","1013485"
"1901","Jesse Burkett","STL","142","673","8.8%","",".376",".440",".509",".444","","169","7.3","1001682"
"1921","Tris Speaker","CLE","132","588","11.6%","2.0%",".362",".439",".538",".444","","146","6.3","1012309"
"2002","Brian Giles","PIT","153","644","21.0%","11.5%",".298",".450",".622",".444","","174","6.9","990"
"1930","Gabby Hartnett","CHC","141","578","9.5%","10.7%",".339",".404",".630",".444","","141","5.6","1005458"
"2020","Marcell Ozuna","ATL","60","267","14.2%","22.5%",".338",".431",".636",".444","","178","2.5","10324"
"2005","Derrek Lee","CHC","158","691","12.3%","15.8%",".335",".418",".662",".444","","170","7.0","525"
"1905","Honus Wagner","PIT","147","616","8.8%","",".363",".427",".505",".444","","165","10.8","1013485"
"1939","Hal Trosky","CLE","122","511","10.2%","5.5%",".335",".405",".589",".444","","149","5.3","1013190"
"1899","Jimmy Williams","PIT","152","689","8.7%","",".355",".417",".535",".443","","152","7.5","1014005"
"1925","Jim Bottomley","STL","153","681","6.9%","5.3%",".367",".413",".578",".443","","149","6.0","1001228"
"1894","Elmer Smith","PIT","125","559","11.6%","2.1%",".356",".436",".538",".443","","133","4.0","1012134"
"1897","Joe Kelley","BAL","131","591","11.8%","",".362",".447",".489",".443","","144","5.3","1006776"
"1941","Jeff Heath","CLE","151","643","7.8%","10.7%",".340",".396",".586",".443","","154","5.4","1005560"
"1973","Willie Stargell","PIT","148","609","13.1%","21.2%",".299",".392",".646",".443","","181","7.7","1012426"
"1890","Dave Orr","BKW","107","498","6.0%","2.2%",".371",".414",".534",".443","","135","3.0","1009848"
"1889","Roger Connor","NYG","131","591","15.7%","7.8%",".317",".426",".528",".443","","152","6.2","1002537"
"1929","Tony Lazzeri","NYY","147","635","10.7%","7.1%",".354",".429",".561",".443","","158","7.2","1007422"
"1952","Stan Musial","STL","154","676","14.2%","4.3%",".336",".432",".538",".443","","166","7.8","1009405"
"1987","Wade Boggs","BOS","147","667","15.7%","7.2%",".363",".461",".588",".443","","171","8.9","1001124"
"1896","Cupid Childs","CLE","132","615","16.3%","2.9%",".355",".467",".446",".443","","141","6.7","1002186"
"1924","Ross Youngs","NYG","133","612","12.6%","5.1%",".356",".441",".521",".443","","163","6.3","1014390"
"1926","Goose Goslin","WAS","147","656","9.6%","5.8%",".354",".425",".542",".443","","151","6.7","1004893"
"1975","Joe Morgan","CIN","146","639","20.7%","8.1%",".327",".466",".508",".443","","176","11.0","1009179"
"1919","Ty Cobb","DET","124","545","7.0%","4.0%",".384",".429",".515",".443","","161","5.8","1002378"
"1970","Willie McCovey","SFG","152","638","21.5%","11.8%",".289",".444",".612",".443","","169","6.8","1008423"
"1928","Hack Wilson","CHC","145","623","12.4%","15.1%",".313",".404",".588",".443","","153","5.5","1014083"
"1894","Jesse Burkett","CLE","125","608","13.8%","4.4%",".358",".447",".509",".443","","127","3.5","1001682"
"1996","Alex Rodriguez","SEA","146","677","8.7%","15.4%",".358",".414",".631",".443","","159","9.2","1274"
"1996","Ellis Burks","COL","156","685","8.9%","16.6%",".344",".408",".639",".443","","151","7.2","372"
"2011","Jose Bautista","TOR","149","655","20.2%","16.9%",".302",".447",".608",".443","","180","8.1","1887"
"1924","Jack Fournier","BRO","154","669","12.4%","6.9%",".334",".428",".536",".443","","163","6.6","1004264"
"1934","Charlie Gehringer","DET","154","708","14.0%","3.5%",".356",".450",".517",".442","","149","8.5","1004596"
"1901","Ed Delahanty","PHI","139","621","10.5%","",".354",".427",".528",".442","","168","7.1","1003155"
"1936","Paul Waner","PIT","148","666","11.1%","4.4%",".373",".446",".520",".442","","162","7.1","1013597"
"1937","Bill Dickey","NYY","140","608","12.0%","3.6%",".332",".417",".570",".442","","147","6.7","1003271"
"1969","Reggie Jackson","OAK","152","677","16.8%","21.0%",".275",".410",".608",".442","","179","8.9","1006308"
"1893","George Davis","NYG","133","600","7.0%","3.3%",".355",".410",".554",".442","","144","6.0","1003049"
"1994","Barry Bonds","SFG","112","474","15.6%","9.1%",".312",".426",".647",".442","","173","6.0","1109"
"1999","Jeff Bagwell","HOU","162","729","20.4%","17.4%",".304",".454",".591",".442","","166","7.8","547"
"1931","Ed Morgan","CLE","131","552","15.0%","8.3%",".351",".451",".511",".442","","148","4.5","1009176"
"1890","George Gore","NYK","93","479","16.1%","4.8%",".318",".432",".499",".442","","133","3.2","1004879"
"1949","Jackie Robinson","BRO","156","704","12.2%","3.8%",".342",".432",".528",".442","","156","9.6","1011070"
"1894","George Davis","NYG","122","547","12.1%","1.8%",".352",".435",".537",".442","","130","5.5","1003049"
"1991","Frank Thomas","CHW","158","701","19.7%","16.0%",".318",".453",".553",".442","","179","7.3","255"
"2019","Christian Yelich","MIL","130","580","13.8%","20.3%",".329",".429",".671",".442","","174","7.8","11477"
"1894","Dan Brouthers","BAL","123","597","11.2%","1.5%",".347",".425",".560",".442","","127","3.9","1001486"
"2004","Albert Pujols","STL","154","692","12.1%","7.5%",".331",".415",".657",".442","","171","7.8","1177"
"1931","Mickey Cochrane","PHA","122","521","10.7%","4.0%",".349",".423",".553",".441","","151","5.6","1002384"
"1906","George Stone","SLB","154","658","7.9%","",".358",".417",".501",".441","","182","8.9","1012564"
"1953","Roy Campanella","BRO","144","590","11.4%","9.8%",".312",".395",".611",".441","","154","7.7","1001871"
"1995","Frank Thomas","CHW","145","647","21.0%","11.4%",".308",".454",".606",".441","","168","5.4","255"
"1969","Harmon Killebrew","MIN","162","709","20.5%","11.8%",".276",".427",".584",".441","","173","7.1","1006905"
"1926","Lou Gehrig","NYY","155","696","15.1%","10.5%",".313",".420",".549",".441","","151","7.0","1004598"
"1940","Rudy York","DET","155","685","13.0%","12.8%",".316",".410",".583",".441","","144","5.8","1014354"
"1950","Ralph Kiner","PIT","150","672","18.2%","11.8%",".272",".408",".590",".441","","152","5.0","1006923"
"1912","Frank Baker","PHA","149","644","7.8%","",".347",".404",".541",".441","","166","9.1","1000453"
"2000","Frank Thomas","CHW","159","707","15.8%","13.3%",".328",".436",".625",".441","","160","5.9","255"
"1940","Jimmie Foxx","BOS","144","618","16.3%","14.1%",".297",".412",".581",".441","","147","5.5","1004285"
"1927","Hack Wilson","CHC","146","646","11.0%","10.8%",".318",".401",".579",".441","","159","6.6","1014083"
"1937","Bob Johnson","PHA","138","576","17.0%","11.3%",".306",".425",".556",".441","","141","5.4","1006428"
"1937","Zeke Bonura","CHW","116","502","9.8%","4.8%",".345",".412",".573",".441","","140","4.0","1001176"
"1972","Billy Williams","CHC","150","650","9.5%","9.1%",".333",".398",".606",".441","","170","6.5","1013975"
"1903","Roger Bresnahan","NYG","113","486","12.6%","",".350",".443",".493",".441","","159","5.4","1001396"
"1995","Tim Salmon","CAL","143","638","14.3%","17.4%",".330",".429",".594",".441","","163","5.8","32"
"1947","Whitey Kurowski","STL","146","614","14.2%","9.1%",".310",".420",".544",".441","","150","5.9","1007215"
