"bpid","mlbid","Name","Age","Team","G","PA","Pitches","FRAA","CDA","FrmCH","CSAA","+/-","FrmR","+/-","BlkCh","EPAA","+/-","BlkR","+/-","TrCH","TRAA","+/-","SrCH","SRAA","+/-","ThrR","+/-"
"32395","434633","John Baker",33,"CHC",55,1929,7507,"-5.5","-4.8",3326,"-0.009",".009","-4.1","4.1",2215,"0.002",".002","-0.9","0",873,"0.001","0.008",45,"0.043","0.088","0.3","0.2"
"55765","488810","Tony Cruz",27,"STL",47,1417,5302,"-5.6","-5.0",2501,"-0.013",".009","-4.6","3.3",1678,"0.001",".002","-0.5","0",688,"0","0.007",16,"0.010","0.148","0","0.2"
"47723","451109","Brett Hayes",30,"KC",27,646,2508,"-5.9","-5.5",1113,"-0.030",".013","-4.7","2.0",731,"0.004",".004","-0.8","0",354,"0","0.009",5,"-0.011","0.264","0","0"
"60747","542194","Christian Bethancourt",22,"ATL",31,1091,4221,"-5.4","-5.7",1878,"-0.018",".011","-4.7","2.8",1185,"0.002",".003","-0.6","0",521,"-0.001","0.009",9,"-0.038","0.192","-0.5","0"
"1501","150229","A.J. Pierzynski",37,"STL",87,3068,11729,"-7.6","-6.7",5345,"-0.008",".007","-5.8","5.5",3322,"0.001",".002","-1.1","0",1376,"0.001","0.006",49,"0.013","0.085","0.2","0.3"
"58494","543589","Adrian Nieto",24,"CWS",46,1341,5047,"-6.9","-7.2",2329,"-0.016",".010","-5.3","3.4",1546,"0.004",".003","-1.9","0",665,"0","0.007",24,"0.015","0.120","0","0.1"
"57013","519083","Derek Norris",25,"OAK",114,3540,13357,"-7.4","-7.2",6011,"-0.007",".007","-5.9","6.1",3725,"0.001",".002","-1.4","0",1539,"0.001","0.006",50,"0.033","0.083","0.1","0.3"
"40216","425900","Dioner Navarro",30,"TOR",112,3849,14947,"-9.1","-7.4",6906,"-0.009",".007","-8.3","7.0",4394,"-0.001",".001","1.3","0",1939,"0","0.005",50,"0.006","0.085","-0.5","0.3"
"33829","455139","Robinson Chirinos",30,"TEX",91,3416,13119,"-6.4","-7.5",6063,"-0.011",".006","-9.8","5.1",3894,"-0.002",".002","1.9","0",1707,"0","0.005",50,"-0.060","0.098","0.4","0"
"51667","500887","Josmil Pinto",25,"MIN",25,1026,3966,"-7.5","-7.5",1736,"-0.028",".011","-6.8","2.6",1235,"0.002",".003","-0.7","0",562,"-0.001","0.009",15,"0.031","0.146","0","0.1"
"67016","592407","Bryan Holaday",26,"DET",58,1715,6585,"-8.6","-8.4",2941,"-0.021",".009","-8.5","3.8",1992,"0.001",".002","-0.4","0",911,"0.001","0.007",27,"0.004","0.120","0.4","0.2"
"16616","408042","Gerald Laird",34,"ATL",48,1582,6008,"-10.2","-10.2",2624,"-0.025",".010","-9.3","3.6",1840,"0.002",".002","-1.0","0",801,"0","0.008",30,"-0.015","0.116","0","0"
"49076","435559","Kurt Suzuki",30,"MIN",119,4344,16038,"-10.1","-11.0",7144,"-0.012",".007","-12.2","6.7",4485,"-0.001",".002","1.2","0",2086,"0","0.005",68,"-0.024","0.078","0","0.3"
"52461","456078","Welington Castillo",27,"CHC",106,3920,15132,"-11.1","-11.7",6689,"-0.015",".006","-14.0","6.0",4483,"-0.001",".002","1.5","0",1906,"-0.002","0.005",52,"-0.020","0.093","0.8","0"
"46537","489232","Anthony Recker",30,"NYM",52,1695,6535,"-11.2","-12.1",3057,"-0.031",".008","-13.3","3.6",1871,"-0.002",".002","1.2","0",767,"0.001","0.008",19,"-0.017","0.140","0","0.2"
"46195","444379","John Jaso",30,"OAK",54,1627,6169,"-14.1","-13.0",2840,"-0.032",".009","-12.7","3.8",1799,"0.001",".003","-0.5","0",729,"0","0.008",27,"0.025","0.115","0.2","0.2"
"47564","454560","A.J. Ellis",33,"LAD",92,3151,12144,"-15.5","-14.4",5341,"-0.019",".007","-14.0","5.4",3288,"0.001",".002","-0.9","0",1363,"0.002","0.005",43,"0.028","0.089","0.5","0.2"
"46714","457454","Jarrod Saltalamacchia",29,"MIA",107,3922,14707,"-24.6","-23.6",6775,"-0.024",".006","-22.5","5.8",4284,"0.001",".002","-1.5","0",1876,"0.002","0.006",70,"0.033","0.074","0.4","0.4"
